id	effectiveTime	active	moduleId	definitionStatusId
36559008	20020131	1	900000000000207008	900000000000074008
36631002	20190131	1	900000000000207008	900000000000073002
36760000	20210731	1	900000000000207008	900000000000073002
37424004	20020131	1	900000000000207008	900000000000074008
37537004	20030131	1	900000000000207008	900000000000073002
37688005	20190131	1	900000000000207008	900000000000073002
37782003	20020131	1	900000000000207008	900000000000074008
37871000	20020131	1	900000000000207008	900000000000073002
38034003	20020131	1	900000000000207008	900000000000074008
38139006	20020131	1	900000000000207008	900000000000074008
38199008	20020131	1	900000000000207008	900000000000074008
38306002	20210131	1	900000000000207008	900000000000073002
38324000	20020131	1	900000000000207008	900000000000074008
38549000	20020131	1	900000000000207008	900000000000074008
38586004	20020131	1	900000000000207008	900000000000074008
38662009	20160131	1	900000000000207008	900000000000073002
38739001	20020131	1	900000000000207008	900000000000073002
39043001	20020131	1	900000000000207008	900000000000074008
39057004	20020131	1	900000000000207008	900000000000074008
39182001	20020131	1	900000000000207008	900000000000074008
39196007	20020131	1	900000000000207008	900000000000074008
39352004	20020131	1	900000000000207008	900000000000074008
39400004	20020131	1	900000000000207008	900000000000073002
39471001	20020131	1	900000000000207008	900000000000074008
39607008	20020131	1	900000000000207008	900000000000074008
39937001	20020131	1	900000000000207008	900000000000074008
40028009	20020131	1	900000000000207008	900000000000073002
40168006	20020131	1	900000000000207008	900000000000074008
40210001	20200131	1	900000000000207008	900000000000074008
40444006	20200731	1	900000000000207008	900000000000073002
40468003	20040731	1	900000000000207008	900000000000073002
40560008	20020131	1	900000000000207008	900000000000074008
40733004	20020131	1	900000000000207008	900000000000073002
40912001	20020131	1	900000000000207008	900000000000073002
41034006	20020131	1	900000000000207008	900000000000074008
41116009	20020131	1	900000000000207008	900000000000073002
41309000	20050131	1	900000000000207008	900000000000073002
41527003	20020131	1	900000000000207008	900000000000074008
41799005	20020131	1	900000000000207008	900000000000074008
41847000	20020131	1	900000000000207008	900000000000074008
41889008	20190131	1	900000000000207008	900000000000073002
41898006	20020131	1	900000000000207008	900000000000074008
41969006	20020131	1	900000000000207008	900000000000074008
42072004	20020131	1	900000000000207008	900000000000074008
42399005	20020131	1	900000000000207008	900000000000074008
42463004	20020131	1	900000000000207008	900000000000074008
42551006	20020131	1	900000000000207008	900000000000074008
42752001	20110131	1	900000000000012004	900000000000074008
43239002	20020131	1	900000000000207008	900000000000074008
43634002	20220430	1	900000000000207008	900000000000073002
43841005	20210131	1	900000000000207008	900000000000073002
43846000	20020131	1	900000000000207008	900000000000074008
43865008	20020131	1	900000000000207008	900000000000074008
43903004	20020131	1	900000000000207008	900000000000074008
43904005	20200131	1	900000000000207008	900000000000073002
44047000	20020131	1	900000000000207008	900000000000074008
44132006	20020131	1	900000000000207008	900000000000074008
44287001	20080731	1	900000000000207008	900000000000073002
44553005	20020131	1	900000000000207008	900000000000074008
44779003	20020131	1	900000000000207008	900000000000074008
45024009	20020131	1	900000000000207008	900000000000074008
45042004	20160131	1	900000000000207008	900000000000073002
45256007	20020131	1	900000000000207008	900000000000074008
45306004	20020131	1	900000000000207008	900000000000074008
45486003	20020131	1	900000000000207008	900000000000074008
45588000	20020131	1	900000000000207008	900000000000074008
45647009	20020131	1	900000000000207008	900000000000074008
45744005	20020131	1	900000000000207008	900000000000074008
47429007	20110131	1	900000000000012004	900000000000074008
47501007	20020131	1	900000000000207008	900000000000074008
47605009	20020131	1	900000000000207008	900000000000074008
47620003	20020131	1	900000000000207008	900000000000074008
47622006	20020131	1	900000000000207008	900000000000074008
47650006	20020131	1	900000000000207008	900000000000074008
48025006	20020131	1	900000000000207008	900000000000074008
48036004	20160131	1	900000000000207008	900000000000073002
48100000	20020131	1	900000000000207008	900000000000074008
48176007	20020131	1	900000000000207008	900000000000074008
48303008	20210131	1	900000000000207008	900000000000073002
48477009	20020131	1	900000000000207008	900000000000074008
48521005	20020131	1	900000000000207008	900000000000074008
48536008	20020131	1	900000000000207008	900000000000074008
48629004	20020131	1	900000000000207008	900000000000074008
48635004	20020131	1	900000000000207008	900000000000073002
48781005	20020131	1	900000000000207008	900000000000074008
48985006	20020131	1	900000000000207008	900000000000074008
49416000	20020131	1	900000000000207008	900000000000074008
49483002	20020131	1	900000000000207008	900000000000073002
49596003	20020131	1	900000000000207008	900000000000074008
49601007	20020131	1	900000000000207008	900000000000073002
49622001	20020131	1	900000000000207008	900000000000074008
49755003	20020131	1	900000000000207008	900000000000074008
49872002	20020131	1	900000000000207008	900000000000074008
50122000	20020131	1	900000000000207008	900000000000074008
50167007	20040731	1	900000000000207008	900000000000073002
50325005	20020131	1	900000000000207008	900000000000073002
50384007	20020131	1	900000000000207008	900000000000074008
50422007	20020131	1	900000000000207008	900000000000074008
50701000	20020131	1	900000000000207008	900000000000073002
50703002	20020131	1	900000000000207008	900000000000074008
50711007	20020731	1	900000000000207008	900000000000073002
50960005	20020131	1	900000000000207008	900000000000074008
51083003	20020131	1	900000000000207008	900000000000074008
51185008	20020131	1	900000000000207008	900000000000074008
51201009	20020131	1	900000000000207008	900000000000074008
51292008	20020131	1	900000000000207008	900000000000073002
51398009	20020131	1	900000000000207008	900000000000074008
51936002	20020131	1	900000000000207008	900000000000074008
52178006	20020131	1	900000000000207008	900000000000074008
52321009	20020131	1	900000000000207008	900000000000074008
52530000	20020131	1	900000000000207008	900000000000074008
52687003	20020131	1	900000000000207008	900000000000074008
52739002	20020131	1	900000000000207008	900000000000074008
52988006	20150131	1	900000000000207008	900000000000074008
53104002	20020131	1	900000000000207008	900000000000074008
53425008	20090731	1	900000000000207008	900000000000073002
53476006	20020131	1	900000000000207008	900000000000073002
53527002	20020131	1	900000000000207008	900000000000074008
53583001	20020131	1	900000000000207008	900000000000074008
53742001	20020131	1	900000000000207008	900000000000074008
54115001	20020131	1	900000000000207008	900000000000074008
54124005	20020131	1	900000000000207008	900000000000074008
54426004	20020131	1	900000000000207008	900000000000074008
54727009	20020131	1	900000000000207008	900000000000074008
54780008	20220131	1	900000000000207008	900000000000073002
54895000	20020131	1	900000000000207008	900000000000074008
55056006	20020131	1	900000000000207008	900000000000073002
55188000	20020131	1	900000000000207008	900000000000074008
55199003	20020131	1	900000000000207008	900000000000074008
55294001	20020131	1	900000000000207008	900000000000073002
55365006	20020131	1	900000000000207008	900000000000074008
